"filename", "language", "Slang", "TOML", "Rust", "comment", "blank", "total"
"c:\Users\jribi\Projects\Rust\vulkan-testing\Cargo.lock", "TOML", 0, 1822, 0, 2, 216, 2040
"c:\Users\jribi\Projects\Rust\vulkan-testing\Cargo.toml", "TOML", 0, 17, 0, 1, 4, 22
"c:\Users\jribi\Projects\Rust\vulkan-testing\build.rs", "Rust", 0, 0, 72, 1, 17, 90
"c:\Users\jribi\Projects\Rust\vulkan-testing\shaders\lighting.slang", "Slang", 97, 0, 0, 2, 30, 129
"c:\Users\jribi\Projects\Rust\vulkan-testing\shaders\other.slang", "Slang", 48, 0, 0, 1, 10, 59
"c:\Users\jribi\Projects\Rust\vulkan-testing\shaders\raymarcher.slang", "Slang", 93, 0, 0, 1, 24, 118
"c:\Users\jribi\Projects\Rust\vulkan-testing\shaders\voxel.slang", "Slang", 43, 0, 0, 2, 13, 58
"c:\Users\jribi\Projects\Rust\vulkan-testing\src\assets.rs", "Rust", 0, 0, 36, 0, 5, 41
"c:\Users\jribi\Projects\Rust\vulkan-testing\src\debug.rs", "Rust", 0, 0, 95, 0, 10, 105
"c:\Users\jribi\Projects\Rust\vulkan-testing\src\device.rs", "Rust", 0, 0, 44, 0, 11, 55
"c:\Users\jribi\Projects\Rust\vulkan-testing\src\input.rs", "Rust", 0, 0, 223, 53, 49, 325
"c:\Users\jribi\Projects\Rust\vulkan-testing\src\instance.rs", "Rust", 0, 0, 33, 0, 9, 42
"c:\Users\jribi\Projects\Rust\vulkan-testing\src\main.rs", "Rust", 0, 0, 656, 7, 85, 748
"c:\Users\jribi\Projects\Rust\vulkan-testing\src\movement.rs", "Rust", 0, 0, 74, 1, 13, 88
"c:\Users\jribi\Projects\Rust\vulkan-testing\src\physical_device.rs", "Rust", 0, 0, 52, 2, 11, 65
"c:\Users\jribi\Projects\Rust\vulkan-testing\src\pipeline.rs", "Rust", 0, 0, 186, 0, 31, 217
"c:\Users\jribi\Projects\Rust\vulkan-testing\src\pool.rs", "Rust", 0, 0, 18, 0, 4, 22
"c:\Users\jribi\Projects\Rust\vulkan-testing\src\queue.rs", "Rust", 0, 0, 20, 0, 2, 22
"c:\Users\jribi\Projects\Rust\vulkan-testing\src\surface.rs", "Rust", 0, 0, 20, 0, 2, 22
"c:\Users\jribi\Projects\Rust\vulkan-testing\src\swapchain.rs", "Rust", 0, 0, 155, 2, 15, 172
"c:\Users\jribi\Projects\Rust\vulkan-testing\src\ticker.rs", "Rust", 0, 0, 14, 1, 3, 18
"c:\Users\jribi\Projects\Rust\vulkan-testing\src\voxel.rs", "Rust", 0, 0, 307, 10, 44, 361
"Total", "-", 281, 1839, 2005, 86, 608, 4819
